Loyalty Number,Country,Province,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Salary_Missing,total_flights_2017,total_distance_2017,total_points_accum_2017,total_points_redeemed_2017,total_dollar_redeemed_2017,avg_monthly_flights_2017,std_monthly_flights_2017,active_months_2017,redemption_rate_2017,flights_fall_2017,flights_spring_2017,flights_summer_2017,flights_winter_2017,months_since_last_flight_2017,churned,tenure_months
480934,Canada,Ontario,Female,Bachelor,83236.0,Married,Star,3839.14,Standard,2016,2,0,18.0,25352.0,25352.0,322.0,58.0,1.5,1.6787441193290353,7.0,0.012701167560744714,2.0,4.0,10.0,2.0,0.0,0,22
549612,Canada,Alberta,Male,College,,Divorced,Star,3839.61,Standard,2016,3,1,31.0,36136.0,36136.0,787.0,142.0,2.5833333333333335,2.0207259421636903,8.0,0.021778835510294442,7.0,9.0,9.0,6.0,1.0,0,21
429460,Canada,British Columbia,Male,College,,Single,Star,3839.75,Standard,2014,7,1,16.0,22957.0,22957.0,374.0,67.0,1.3333333333333333,1.3706888336846839,7.0,0.01629132726401533,4.0,6.0,3.0,3.0,1.0,1,41
608370,Canada,Ontario,Male,College,,Single,Star,3839.75,Standard,2013,2,1,24.0,33369.0,33369.0,864.0,156.0,2.0,1.758098145983065,9.0,0.025892295244088825,5.0,10.0,5.0,4.0,0.0,0,58
530508,Canada,Quebec,Male,Bachelor,103495.0,Married,Star,3842.79,Standard,2014,10,0,11.0,19886.0,19886.0,0.0,0.0,0.9166666666666666,1.4433756729740645,4.0,0.0,2.0,2.0,4.0,3.0,1.0,0,38
193662,Canada,Yukon,Male,Bachelor,51124.0,Married,Star,3844.57,Standard,2012,5,0,52.0,84718.0,84718.0,854.0,154.0,2.1666666666666665,1.8804871400937504,19.0,0.010080502372577257,12.0,10.0,22.0,8.0,0.0,0,67
927943,Canada,Ontario,Female,College,,Single,Star,3857.95,Standard,2014,6,1,16.0,21692.0,21692.0,1174.0,211.0,1.3333333333333333,1.874873733122184,6.0,0.05412133505439794,5.0,2.0,6.0,3.0,1.0,0,42
188893,Canada,Ontario,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,12,0,23.0,42235.0,42235.0,334.0,60.0,1.9166666666666667,1.729862492345632,8.0,0.00790813306499349,6.0,9.0,5.0,3.0,1.0,0,12
852392,Canada,Quebec,Female,Bachelor,100159.0,Married,Star,3861.49,Standard,2015,5,0,20.0,36504.0,36504.0,990.0,179.0,1.6666666666666667,1.9694638556693236,7.0,0.027120315581854043,1.0,14.0,2.0,3.0,0.0,0,31
866307,Canada,Ontario,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,10,0,23.0,28135.0,28135.0,1057.0,190.0,1.9166666666666667,1.9286515936521478,7.0,0.03756886440376755,4.0,12.0,4.0,3.0,1.0,0,14
932823,Canada,British Columbia,Female,Bachelor,66444.0,Married,Star,3863.31,Standard,2015,3,0,25.0,45739.0,45739.0,499.0,90.0,2.0833333333333335,1.5642792899510296,9.0,0.010909726928879074,10.0,4.0,7.0,4.0,0.0,0,33
144514,Canada,British Columbia,Female,Bachelor,49618.0,Married,Star,3864.78,Standard,2016,6,0,12.0,16970.0,16970.0,0.0,0.0,1.0,1.2792042981336627,5.0,0.0,2.0,0.0,5.0,5.0,0.0,0,18
611765,Canada,Quebec,Male,Bachelor,90175.0,Single,Star,3867.97,Standard,2018,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,0
988178,Canada,Quebec,Male,College,,Single,Star,3871.07,Standard,2013,10,1,38.0,55010.0,55010.0,679.0,122.0,3.1666666666666665,1.5859229221975182,12.0,0.012343210325395383,4.0,12.0,11.0,11.0,0.0,0,50
286114,Canada,Ontario,Female,College,,Single,Star,3872.22,Standard,2016,11,1,14.0,19232.0,19232.0,1165.0,209.0,1.1666666666666667,1.5859229221975182,6.0,0.0605761231281198,1.0,0.0,7.0,6.0,0.0,0,13
205785,Canada,Ontario,Male,Master,128118.0,Married,Star,3873.65,Standard,2016,8,0,27.0,40831.0,40831.0,1233.0,222.0,2.25,1.9128750375000738,9.0,0.030197643947001054,6.0,3.0,13.0,5.0,0.0,0,16
735304,Canada,Alberta,Female,Master,128118.0,Married,Star,3873.65,Standard,2016,12,0,9.0,16132.0,16132.0,608.0,109.0,0.75,0.9653072991634227,6.0,0.037689065212000994,2.0,2.0,1.0,4.0,0.0,0,12
438936,Canada,Quebec,Male,Bachelor,94092.0,Married,Star,3878.77,Standard,2013,10,0,29.0,37432.0,37432.0,0.0,0.0,2.4166666666666665,1.9286515936521478,9.0,0.0,4.0,8.0,13.0,4.0,0.0,0,50
172755,Canada,Alberta,Female,College,,Single,Aurora,5303.76,2018 Promotion,2018,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
354730,Canada,New Brunswick,Female,College,,Married,Star,3885.46,Standard,2014,10,1,20.0,36872.0,36872.0,0.0,0.0,1.6666666666666667,1.8257418583505536,8.0,0.0,5.0,1.0,9.0,5.0,1.0,1,38
413741,Canada,Ontario,Female,College,,Married,Star,3885.46,Standard,2015,7,1,22.0,42474.0,42474.0,1410.0,253.0,1.8333333333333333,2.1248885888797826,8.0,0.033196779206102554,5.0,5.0,9.0,3.0,1.0,0,29
552965,Canada,Quebec,Male,College,,Married,Star,3885.46,Standard,2018,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,0
642313,Canada,Alberta,Male,College,,Married,Star,3885.46,Standard,2016,3,1,19.0,23282.0,23282.0,1506.0,271.0,1.5833333333333333,1.5642792899510296,8.0,0.06468516450476763,3.0,5.0,5.0,6.0,0.0,1,21
263080,Canada,Alberta,Male,College,,Single,Star,3886.5,Standard,2014,5,1,14.0,16998.0,16998.0,0.0,0.0,1.1666666666666667,1.8006732747570398,4.0,0.0,2.0,8.0,4.0,0.0,2.0,0,43
109767,Canada,Ontario,Female,Bachelor,89062.0,Single,Star,3886.65,Standard,2016,5,0,19.0,31203.0,31203.0,1151.0,207.0,1.5833333333333333,0.9962049198956219,11.0,0.036887478768067174,4.0,2.0,6.0,7.0,0.0,0,19
217754,Canada,Quebec,Female,Bachelor,102400.0,Single,Star,3887.32,Standard,2015,6,0,20.0,33727.0,33727.0,0.0,0.0,1.6666666666666667,2.1461734799546393,7.0,0.0,0.0,3.0,13.0,4.0,4.0,0,30
157005,Canada,British Columbia,Male,Bachelor,98629.0,Married,Star,3890.87,Standard,2016,10,0,28.0,36212.0,36212.0,0.0,0.0,2.3333333333333335,1.497472618255253,11.0,0.0,6.0,8.0,8.0,6.0,1.0,0,14
557752,Canada,Ontario,Female,Bachelor,98629.0,Married,Star,3890.87,Standard,2017,10,0,5.0,11255.0,11255.0,0.0,0.0,0.4166666666666667,1.443375672974064,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0,2
608758,Canada,Ontario,Male,Bachelor,63795.0,Married,Star,3890.96,Standard,2013,7,0,13.0,24928.0,24928.0,0.0,0.0,1.0833333333333333,1.4433756729740643,7.0,0.0,4.0,1.0,6.0,2.0,0.0,0,53
599341,Canada,Quebec,Female,Bachelor,54890.0,Married,Star,3891.54,Standard,2015,11,0,37.0,68642.0,68642.0,983.0,177.0,3.0833333333333335,1.621353717973928,12.0,0.01432067830191428,10.0,4.0,12.0,11.0,0.0,0,25
333502,Canada,British Columbia,Male,College,,Married,Star,3891.58,Standard,2014,3,1,14.0,19704.0,19704.0,0.0,0.0,1.1666666666666667,1.8504708655481241,4.0,0.0,6.0,3.0,5.0,0.0,1.0,0,45
201574,Canada,Ontario,Female,Bachelor,51375.0,Married,Star,3893.31,Standard,2015,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1,32
403361,Canada,British Columbia,Male,Bachelor,70222.0,Single,Star,3895.03,Standard,2017,10,0,3.0,6183.0,6183.0,0.0,0.0,0.25,0.8660254037844386,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0,2
543918,Canada,Quebec,Male,High School or Below,40736.0,Married,Star,3896.57,Standard,2012,11,0,30.0,41922.0,41922.0,1987.0,357.0,2.5,1.6236882817719773,10.0,0.04739754782691665,10.0,7.0,9.0,4.0,0.0,0,61
806030,Canada,Alberta,Female,Bachelor,75861.0,Married,Star,3903.47,Standard,2018,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,0
119200,Canada,British Columbia,Female,Bachelor,69835.0,Divorced,Star,3903.8,Standard,2017,5,0,10.0,14956.0,14956.0,0.0,0.0,0.8333333333333334,1.5859229221975182,4.0,0.0,1.0,0.0,6.0,3.0,0.0,0,7
938981,Canada,Alberta,Female,College,,Single,Aurora,5337.35,2018 Promotion,2018,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
238119,Canada,Quebec,Male,Bachelor,75980.0,Married,Star,3906.67,Standard,2013,5,0,25.0,38650.0,38650.0,0.0,0.0,2.0833333333333335,2.0207259421636903,8.0,0.0,5.0,5.0,10.0,5.0,0.0,0,55
730388,Canada,Ontario,Male,College,,Single,Star,3907.03,Standard,2012,5,1,23.0,34172.0,34172.0,0.0,0.0,1.9166666666666667,1.8319554050414562,8.0,0.0,5.0,4.0,11.0,3.0,0.0,0,67
834891,Canada,British Columbia,Female,Bachelor,54460.0,Married,Star,3911.12,Standard,2017,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1,9
127400,Canada,British Columbia,Female,College,,Single,Star,3914.72,Standard,2014,6,1,13.0,15098.0,15098.0,528.0,95.0,1.0833333333333333,1.4433756729740648,5.0,0.034971519406543916,4.0,0.0,3.0,6.0,0.0,0,42
324557,Canada,Quebec,Female,College,,Single,Star,3914.72,Standard,2013,2,1,16.0,25904.0,25904.0,645.0,116.0,1.3333333333333333,1.2309149097933272,8.0,0.02489962940086473,6.0,4.0,6.0,0.0,1.0,0,58
742002,Canada,Ontario,Female,College,,Single,Star,3915.8,Standard,2016,5,1,13.0,23503.0,23503.0,0.0,0.0,1.0833333333333333,1.6764862244009227,4.0,0.0,4.0,7.0,0.0,2.0,2.0,0,19
536567,Canada,Alberta,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,5,0,23.0,28799.0,28799.0,0.0,0.0,1.9166666666666667,2.108783937953269,7.0,0.0,5.0,1.0,12.0,5.0,0.0,0,19
704835,Canada,British Columbia,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,9,0,18.0,26459.0,26459.0,963.0,173.0,1.5,1.4459976109624424,7.0,0.036395933330813715,6.0,3.0,3.0,6.0,0.0,0,15
733338,Canada,Ontario,Female,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,6,0,3.0,4497.0,4497.0,0.0,0.0,0.25,0.8660254037844386,1.0,0.0,0.0,0.0,0.0,3.0,11.0,1,18
758635,Canada,Quebec,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2018,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,0
823048,Canada,British Columbia,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2018,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,0
612905,Canada,Ontario,Female,College,,Married,Star,3920.51,Standard,2015,2,1,17.0,26824.0,26824.0,569.0,102.0,1.4166666666666667,1.5050420310248864,7.0,0.021212347151804353,7.0,3.0,4.0,3.0,1.0,0,34
679908,Canada,Quebec,Female,Bachelor,77601.0,Married,Star,3921.02,Standard,2015,8,0,24.0,39398.0,39398.0,535.0,96.0,2.0,1.651445647689541,9.0,0.013579369511142697,6.0,7.0,6.0,5.0,1.0,0,28
704150,Canada,Manitoba,Male,Bachelor,77601.0,Married,Star,3921.02,Standard,2014,10,0,19.0,23665.0,23665.0,409.0,74.0,1.5833333333333333,1.621353717973928,8.0,0.017282907246989224,4.0,5.0,6.0,4.0,0.0,0,38
869743,Canada,Ontario,Female,Bachelor,73236.0,Single,Star,3924.42,Standard,2016,11,0,15.0,16548.0,16548.0,0.0,0.0,1.25,1.712255291076124,5.0,0.0,0.0,5.0,8.0,2.0,5.0,1,13
596179,Canada,New Brunswick,Female,Bachelor,50879.0,Single,Star,3933.81,Standard,2014,3,0,30.0,51941.0,51941.0,0.0,0.0,2.5,1.834021909257456,9.0,0.0,8.0,12.0,3.0,7.0,2.0,0,45
370450,Canada,Ontario,Female,High School or Below,62160.0,Married,Star,3934.1,Standard,2012,11,0,16.0,20586.0,20586.0,1382.0,249.0,1.3333333333333333,1.6143297699232972,6.0,0.06713300301175557,4.0,4.0,1.0,7.0,0.0,0,61
501030,Canada,British Columbia,Male,Bachelor,93541.0,Married,Star,3934.71,Standard,2017,3,0,17.0,19608.0,19608.0,0.0,0.0,1.4166666666666667,1.5050420310248864,7.0,0.0,7.0,3.0,4.0,3.0,0.0,0,9
878633,Canada,Ontario,Female,Doctor,163974.0,Married,Star,3936.79,Standard,2013,12,0,27.0,34014.0,34014.0,0.0,0.0,2.25,2.220769727328383,7.0,0.0,4.0,9.0,9.0,5.0,0.0,0,48
285938,Canada,Quebec,Female,Bachelor,75827.0,Married,Star,3939.01,Standard,2014,9,0,22.0,34494.0,34494.0,0.0,0.0,1.8333333333333333,1.5859229221975182,8.0,0.0,8.0,1.0,4.0,9.0,0.0,0,39
588237,Canada,Quebec,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2013,11,0,23.0,22941.0,22941.0,939.0,169.0,1.9166666666666667,1.7816403745544227,8.0,0.04093108408526219,7.0,8.0,7.0,1.0,1.0,0,49
645280,Canada,British Columbia,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2012,12,0,26.0,28662.0,28662.0,813.0,146.0,2.1666666666666665,1.898963034411309,9.0,0.028365082687879423,6.0,5.0,13.0,2.0,1.0,0,60
