Loyalty Number,Country,Province,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Salary_Missing,total_flights_2017,total_distance_2017,total_points_accum_2017,total_points_redeemed_2017,total_dollar_redeemed_2017,avg_monthly_flights_2017,std_monthly_flights_2017,active_months_2017,redemption_rate_2017,flights_fall_2017,flights_spring_2017,flights_summer_2017,flights_winter_2017,months_since_last_flight_2017,churned,tenure_months
611765,Canada,Quebec,Male,Bachelor,90175.0,Single,Star,3867.97,Standard,2018,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,0
172755,Canada,Alberta,Female,College,,Single,Aurora,5303.76,2018 Promotion,2018,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
552965,Canada,Quebec,Male,College,,Married,Star,3885.46,Standard,2018,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,0
806030,Canada,Alberta,Female,Bachelor,75861.0,Married,Star,3903.47,Standard,2018,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,0
938981,Canada,Alberta,Female,College,,Single,Aurora,5337.35,2018 Promotion,2018,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
758635,Canada,Quebec,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2018,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,0
823048,Canada,British Columbia,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2018,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,0
864324,Canada,Quebec,Female,Bachelor,75827.0,Married,Star,3939.01,Standard,2018,6,0,18.0,24458.0,24458.0,588.0,106.0,1.5,1.5666989036012806,7.0,0.024041213508872353,3.0,0.0,9.0,6.0,0.0,0,0
461108,Canada,Quebec,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2018,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,0
386082,Canada,Alberta,Female,Bachelor,30486.0,Divorced,Aurora,5391.97,2018 Promotion,2018,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
